id,ship,manufacturer,scale,date,tonnage,unit,data_quality,tonnage_source,steel_class
198,USS Constitution,Billing Boats,1:100,1797,1576,tons,documentato,,80 guns
199,USS Constitution,BlueJacket,1:96,1797,1576,tons,documentato,,80 guns
200,USS Constitution,Mamoli,1:93,1797,1576,tons,documentato,,80 guns
201,USS Constitution,Model Shipways,1:76,1797,1576,tons,documentato,,80 guns
202,USS Essex,Model Shipways,1:76,1799,897,bm,documentato,,50/44 guns
203,USS Niagara,Model Shipways,1:64,1813,492,tons burthen,documentato,,24 guns
204,Vasa,Corel,1:75,1628,1225,t displacement,intervallo museale / valore centrale,https://faq.vasamuseet.se/category/45/article/1262?lang=en,64 guns
205,Vasa,Mantua / Sergal,1:60,1628,1225,t displacement,intervallo museale / valore centrale,https://faq.vasamuseet.se/category/45/article/1262?lang=en,64 guns
206,Viking Gokstad,Dusek Ship Kits,1:35,c. 890,30,t displacement,archeologia sperimentale / documentato,https://en.wikipedia.org/wiki/Gokstad_ship,16/14 guns
207,Viking Gokstad,Dusek Ship Kits,1:72,c. 890,30,t displacement,archeologia sperimentale / documentato,https://en.wikipedia.org/wiki/Gokstad_ship,16/14 guns
208,Viking Knarr,Dusek Ship Kits,1:35,XI secolo,26,t displacement,proxy archeologia sperimentale,https://www.vikingeskibsmuseet.dk/en/professions/boatyard/building-projects/ottar,16/14 guns
209,Viking Longship,Dusek Ship Kits,1:35,X secolo,30,t displacement equivalente,tipologico da nave archeologica,https://en.wikipedia.org/wiki/Gokstad_ship,16/14 guns
210,Viking Longship,Dusek Ship Kits,1:72,X secolo,30,t displacement equivalente,tipologico da nave archeologica,https://en.wikipedia.org/wiki/Gokstad_ship,16/14 guns
211,VOC Batavia,Kolderstok,1:72,1628,600,tons / 300 lasten,documentato,https://rgssa.org.au/heritage/treasures/pelsaerts-account-of-the-wreck-of-the-batavia,28 guns
212,Wijdschip / Smalschip,Kolderstok,1:72,XVII secolo,80,t equivalente,tipologico / dedotto,https://kolderstok.com/en/collections/modellen,16/14 guns
213,Willem Barentsz Expedition Ship,Kolderstok,1:50,1596,100,t equivalente,ricostruzione storica / dedotto,https://kolderstok.com/en/collections/modellen,16/14 guns
214,Willie Bennett,Model Shipways,1:32,1899,8,gross tons,documentato,https://www.scribd.com/document/383938742/00031655,16/14 guns
