#file,rigging_db.csv
version,rev58
id,section,en,it,es,vanguard,victory,agamemnon,bounty,diana
2784,74 guns,SPRITSAIL,Spritsail - Halliard - Seizing and Lashing,Civada - Drizza - Legatura e fissaggio,Cebadera - Driza - Ligada y trinca,31,,1.5,6,12.13,031-ShipOf74Guns.jpg,Halliard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2785,74 guns,SPRITSAIL,Spritsail - Slings,Civada - Stroppi,Cebadera - Eslingas,31,1,6.5,6,52.55,031-ShipOf74Guns.jpg,Slings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2786,74 guns,SPRITSAIL,Spritsail - Slings - Seizing and Racking,Civada - Stroppi - Legatura e legatura incrociata,Cebadera - Eslingas - Ligada y ligada cruzada,31,,1.5,10,12.13,031-ShipOf74Guns.jpg,Slings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2787,74 guns,SPRITSAIL,Spritsail - Clew-Lines,Civada - Imbrogli,Cebadera - Cargaderas de puños,31,2,2.5,45,20.21,031-ShipOf74Guns.jpg,Clew-Lines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2788,74 guns,SPRITSAIL,Spritsail - Clew-Lines - Strapping,Civada - Imbrogli - Stroppatura,Cebadera - Cargaderas de puños - Estrobado,31,,3,6,24.26,031-ShipOf74Guns.jpg,Clew-Lines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2789,74 guns,SPRITSAIL,Spritsail - Buntlines,Civada - Caricaboline,Cebadera - Brioles,31,,2,34,16.17,031-ShipOf74Guns.jpg,Buntlines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2790,74 guns,SPRITSAIL,Spritsail - Buntlines - Strapping,Civada - Caricaboline - Stroppatura,Cebadera - Brioles - Estrobado,31,,2.5,1,20.21,031-ShipOf74Guns.jpg,Buntlines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2791,74 guns,SPRITSAIL,Spritsail - Earrings,Civada - Legature d’angolo,Cebadera - Empuñiduras,31,,1.5,12,12.13,031-ShipOf74Guns.jpg,Earrings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2792,74 guns,SPRITSAIL,Spritsail - Sheets cabled single,Civada - Scotte in cavo singolo,Cebadera - Escotas colchadas sencillas,31,2,5,40,40.43,031-ShipOf74Guns.jpg,Sheets,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2793,74 guns,JIBB,Jibb - Horses,Fiocco - Marciapiedi,Foque - Marchapiés,31,1,4,20,32.34,031-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2794,74 guns,JIBB,Jibb - Horses - Seizings,Fiocco - Marciapiedi - Legature,Foque - Marchapiés - Ligaduras,31,,1,0.5,8.09,031-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2795,74 guns,JIBB,Jibb - Guy Pendants,Fiocco - Pendenti dei venti,Foque - Pendientes de retenida,31,1,4.5,34,36.38,031-ShipOf74Guns.jpg,Guy Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2796,74 guns,JIBB,Jibb - Guy Pendants - Falls,Fiocco - Pendenti dei venti - Correnti,Foque - Pendientes de retenida - Betas,31,2,3,36,24.26,031-ShipOf74Guns.jpg,Guy Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2797,74 guns,JIBB,Jibb - Guy Pendants - Strapping,Fiocco - Pendenti dei venti - Stroppatura,Foque - Pendientes de retenida - Estrobado,31,,4,1.5,32.34,031-ShipOf74Guns.jpg,Guy Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2798,74 guns,JIBB,Jibb - Guy Pendants - Lathers,Fiocco - Pendenti dei venti - legature,Foque - Pendientes de retenida - Estrobos,31,4,1,14,8.09,031-ShipOf74Guns.jpg,Guy Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2799,74 guns,JIBB,Jibb - Out-Hauler,Fiocco - Caricafuori,Foque - Contraescota,31,,4,12,32.34,031-ShipOf74Guns.jpg,Out-Hauler,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2800,74 guns,JIBB,Jibb - Out-Hauler - Tackle-Fall,Fiocco - Caricafuori - Corrente del paranco,Foque - Contraescota - Beta del aparejo,31,,3.5,30,28.3,031-ShipOf74Guns.jpg,Out-Hauler,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2801,74 guns,JIBB,Jibb - Out-Hauler - Strapping,Fiocco - Caricafuori - Stroppatura,Foque - Contraescota - Estrobado,31,,2.5,1,20.21,031-ShipOf74Guns.jpg,Out-Hauler,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2802,74 guns,JIBB,Jibb - Stay,Fiocco - Straglio,Foque - Estay,31,,4.5,33,36.38,031-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2803,74 guns,JIBB,Jibb - Stay - Strapping,Fiocco - Straglio - Stroppatura,Foque - Estay - Estrobado,31,,4.5,1,36.38,031-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2804,74 guns,JIBB,Jibb - Stay - Tacklefall,Fiocco - Straglio - Corrente del paranco,Foque - Estay - Beta del aparejo,31,,2.5,26,20.21,031-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2805,74 guns,JIBB,Jibb - Stay - Tacklefall Strapping,Fiocco - Straglio - Corrente del paranco Stroppatura,Foque - Estay - Estrobado de beta de aparejo,31,,2.5,1,20.21,031-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2806,74 guns,JIBB,Jibb - Hallyard,Fiocco - Drizza,Foque - Driza,31,,4,46,32.34,031-ShipOf74Guns.jpg,Hallyard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2807,74 guns,JIBB,Jibb - Hallyard - Strapping,Fiocco - Drizza - Stroppatura,Foque - Driza - Estrobado,31,,4,1,32.34,031-ShipOf74Guns.jpg,Hallyard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2808,74 guns,JIBB,Jibb - Downhaller,Fiocco - Caricabasso,Foque - Cargadera,31,,2.5,40,20.21,031-ShipOf74Guns.jpg,Downhaller,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2809,74 guns,JIBB,Jibb - Sheets single,Fiocco - Scotte singolo,Foque - Escotas sencillas,31,2,3.5,50,28.3,031-ShipOf74Guns.jpg,Sheets,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2810,74 guns,JIBB,Jibb - Sheets - Pendants,Fiocco - Scotte - Pendenti,Foque - Escotas - Pendientes,31,1,4.5,12,36.38,031-ShipOf74Guns.jpg,Sheets,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2811,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Horses,Parrocchetto di civada - Marciapiedi,Sobrecebadera - Marchapiés,31,,3,9,24.26,031-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2812,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces,Parrocchetto di civada - Bracci,Sobrecebadera - Brazas,31,2,2.5,54,20.21,031-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2813,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Braces - Strapping,Parrocchetto di civada - Bracci - Stroppatura,Sobrecebadera - Brazas - Estrobado,31,,2.5,1,20.21,031-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2814,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts single,Parrocchetto di civada - Amantigli singolo,Sobrecebadera - Amantillos sencillos,31,2,2.5,40,20.21,031-ShipOf74Guns.jpg,Lifts,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2815,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lifts - Strapping,Parrocchetto di civada - Amantigli - Stroppatura,Sobrecebadera - Amantillos - Estrobado,31,,2.5,1,20.21,031-ShipOf74Guns.jpg,Lifts,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2816,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard,Parrocchetto di civada - Drizza,Sobrecebadera - Driza,31,,2.5,32,20.21,031-ShipOf74Guns.jpg,Hallyard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2817,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Strapping,Parrocchetto di civada - Drizza - Stroppatura,Sobrecebadera - Driza - Estrobado,31,,2.5,2.5,20.21,031-ShipOf74Guns.jpg,Hallyard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2818,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Hallyard - Lashing,Parrocchetto di civada - Drizza - legatura,Sobrecebadera - Driza - Trinca,31,,2.5,6,20.21,031-ShipOf74Guns.jpg,Hallyard,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2819,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Parrel-Ropes,Parrocchetto di civada - Cime della trozza,Sobrecebadera - Racamentos,31,2,2.5,5,20.21,031-ShipOf74Guns.jpg,Parrel-Ropes,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2820,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines,Parrocchetto di civada - Imbrogli,Sobrecebadera - Cargaderas de puños,31,2,2,46,16.17,031-ShipOf74Guns.jpg,Clewlines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2821,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Clewlines - Strapping,Parrocchetto di civada - Imbrogli - Stroppatura,Sobrecebadera - Cargaderas de puños - Estrobado,31,,2,2,16.17,031-ShipOf74Guns.jpg,Clewlines,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2822,74 guns,SPRITSAIL TOPSAIL,Spritsail topsail - Lacing and Earings,Parrocchetto di civada - Infilatura e terzaruoli,Sobrecebadera - Envergado y empuñiduras,31,2,1,40,8.09,031-ShipOf74Guns.jpg,Lacing and Earings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2823,74 guns,FORE-MAST,Fore mast - Woolding,Albero di trinchetto - Legatura,Palo trinquete - Ligadura,31,,3.5,280,28.3,031-ShipOf74Guns.jpg,Woolding,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2824,74 guns,FORE-MAST,Fore mast - Girdlings,Albero di trinchetto - Legature d’albero,Palo trinquete - Ligaduras de palo,31,,5,77,40.43,031-ShipOf74Guns.jpg,Girdlings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2825,74 guns,FORE-MAST,Fore mast - Girdlings - Strapping,Albero di trinchetto - Legature d’albero - Stroppatura,Palo trinquete - Ligaduras de palo - Estrobado,31,,5,2,40.43,031-ShipOf74Guns.jpg,Girdlings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2826,74 guns,FORE-MAST,Fore mast - Girdlings - Seizing,Albero di trinchetto - Legature d’albero - Legatura,Palo trinquete - Ligaduras de palo - Ligadura,31,,0.5,7,4.04,031-ShipOf74Guns.jpg,Girdlings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2827,74 guns,FORE-MAST,Fore mast - Girdlings - Lashings,Albero di trinchetto - Legature d’albero - Legature di fissaggio,Palo trinquete - Ligaduras de palo - Trincas,31,2,2.5,18,20.21,031-ShipOf74Guns.jpg,Girdlings,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2828,74 guns,FORE-MAST,Fore mast - Pendants of Tackles cabled fine,Albero di trinchetto - Pendenti dei paranchi in cavo fini,Palo trinquete - Pendientes colchados finos de aparejos,32,,11,19,88.94,032-ShipOf74Guns.jpg,Pendants of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2829,74 guns,FORE-MAST,Fore mast - Pendants of Tackles - Strapping,Albero di trinchetto - Pendenti dei paranchi - Stroppatura,Palo trinquete - Pendientes de aparejos - Estrobado,32,,7.5,4,60.64,032-ShipOf74Guns.jpg,Pendants of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2830,74 guns,FORE-MAST,Fore mast - Pendants of Tackles - Seizing,Albero di trinchetto - Pendenti dei paranchi - Legatura,Palo trinquete - Pendientes de aparejos - Ligadura,32,,1.5,8,12.13,032-ShipOf74Guns.jpg,Pendants of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2831,74 guns,FORE-MAST,Fore mast - Runners of Tackles,Albero di trinchetto - Corridori dei paranchi,Palo trinquete - Corredores de aparejos,32,,7.5,36,60.64,032-ShipOf74Guns.jpg,Runners of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2832,74 guns,FORE-MAST,Fore mast - Runners of Tackles - Strapping,Albero di trinchetto - Corridori dei paranchi - Stroppatura,Palo trinquete - Corredores de aparejos - Estrobado,32,,6,6,48.51,032-ShipOf74Guns.jpg,Runners of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2833,74 guns,FORE-MAST,Fore mast - Falls of Tackles,Albero di trinchetto - Correnti dei paranchi,Palo trinquete - Betas de aparejos,32,,4,190,32.34,032-ShipOf74Guns.jpg,Falls of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2834,74 guns,FORE-MAST,Fore mast - Falls of Tackles - Strapping,Albero di trinchetto - Correnti dei paranchi - Stroppatura,Palo trinquete - Betas de aparejos - Estrobado,32,,5.5,10,44.47,032-ShipOf74Guns.jpg,Falls of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2835,74 guns,FORE-MAST,Fore mast - Falls of Tackles - Seizing,Albero di trinchetto - Correnti dei paranchi - Legatura,Palo trinquete - Betas de aparejos - Ligadura,32,,1,45,8.09,032-ShipOf74Guns.jpg,Falls of Tackles,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2836,74 guns,FORE-MAST,Fore mast - Shrouds cabled fine,Albero di trinchetto - Sartie in cavo fini,Palo trinquete - Obenques colchados finos,32,,11,207,88.94,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2837,74 guns,FORE-MAST,Fore mast - Shrouds - Seizings Eye,Albero di trinchetto - Sartie - Legature occhio,Palo trinquete - Obenques - Ligaduras de ojo,32,6,1.5,45,12.13,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2838,74 guns,FORE-MAST,Fore mast - Shrouds - Throat,Albero di trinchetto - Sartie - Gola,Palo trinquete - Obenques - Boca,32,,1.5,87.5,12.13,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2839,74 guns,FORE-MAST,Fore mast - Shrouds - End,Albero di trinchetto - Sartie - Estremità,Palo trinquete - Obenques - Extremo,32,,1.5,87.5,12.13,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2840,74 guns,FORE-MAST,Fore mast - Shrouds - Lanyards fine,Albero di trinchetto - Sartie - Corridori fini,Palo trinquete - Obenques - Acolladores finos,32,14,5.5,108,44.47,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2841,74 guns,FORE-MAST,Fore mast - Shrouds - Ratling,Albero di trinchetto - Sartie - grisella,Palo trinquete - Obenques - Flechaste,32,,1.5,360,12.13,032-ShipOf74Guns.jpg,Shrouds,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2842,74 guns,FORE-MAST,Fore mast - Stay cabled fine 4 Strands,Albero di trinchetto - Straglio in cavo fini 4 legnoli,Palo trinquete - Estay colchado fino de 4 cordones,32,,17.5,14.5,141.49,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2843,74 guns,FORE-MAST,Fore mast - Stay - Seizings,Albero di trinchetto - Straglio - Legature,Palo trinquete - Estay - Ligaduras,32,3,2,25,16.17,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2844,74 guns,FORE-MAST,Fore mast - Stay - Lanyard fine,Albero di trinchetto - Straglio - Corridore fini,Palo trinquete - Estay - Acollador fino,32,,4,17,32.34,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2845,74 guns,FORE-MAST,Fore mast - Stay - Collar cabled 4 Str. fine double,Albero di trinchetto - Straglio - Collare in cavo 4 Str. fini doppio,Palo trinquete - Estay - Collar colchado doble fino de 4 cordones,32,,9.5,8.5,76.81,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2846,74 guns,FORE-MAST,Fore mast - Stay - Collar Seizings,Albero di trinchetto - Straglio - Collare Legature,Palo trinquete - Estay - Ligaduras de collar,32,2,1.5,12,12.13,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2847,74 guns,FORE-MAST,Fore mast - Stay - Collar Lashing,Albero di trinchetto - Straglio - Collare legatura,Palo trinquete - Estay - Trinca de collar,32,,2.5,6,20.21,032-ShipOf74Guns.jpg,Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2848,74 guns,FORE-MAST,Fore mast - Preventer Stay cabled 4 Str. fine,Albero di trinchetto - Controstraglio in cavo 4 Str. fini,Palo trinquete - Estay de respeto colchado fino de 4 cordones,32,,11.5,14.5,92.98,032-ShipOf74Guns.jpg,Preventer Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2849,74 guns,FORE-MAST,Fore mast - Preventer Stay - Lanyard fine,Albero di trinchetto - Controstraglio - Corridore fini,Palo trinquete - Estay de respeto - Acollador fino,32,,4.5,10,36.38,032-ShipOf74Guns.jpg,Preventer Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2850,74 guns,FORE-MAST,Fore mast - Preventer Stay - Collar cabled 4 Str. fine double,Albero di trinchetto - Controstraglio - Collare in cavo 4 Str. fini doppio,Palo trinquete - Estay de respeto - Collar colchado doble fino de 4 cordones,32,,6.5,7,52.55,032-ShipOf74Guns.jpg,Preventer Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2851,74 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Lashing,Albero di trinchetto - Controstraglio - Collare legatura,Palo trinquete - Estay de respeto - Trinca de collar,32,,2.5,6,20.21,032-ShipOf74Guns.jpg,Preventer Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2852,74 guns,FORE-MAST,Fore mast - Preventer Stay - Collar Seizings,Albero di trinchetto - Controstraglio - Collare Legature,Palo trinquete - Estay de respeto - Ligaduras de collar,32,,1.5,18,12.13,032-ShipOf74Guns.jpg,Preventer Stay,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2853,74 guns,FORE-MAST,Fore mast - Catharpin Legs,Albero di trinchetto - Catarpine,Palo trinquete - Pernas de contraobenques,32,4,7,14,56.6,032-ShipOf74Guns.jpg,Catharpin Legs,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2854,74 guns,FORE-MAST,Fore mast - Catharpin Legs - Seizings,Albero di trinchetto - Catarpine - Legature,Palo trinquete - Pernas de contraobenques - Ligaduras,32,8,1.5,60,12.13,032-ShipOf74Guns.jpg,Catharpin Legs,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2855,74 guns,FORE-MAST,Fore mast - Crowfoot for the Top,Albero di trinchetto - Ragnatela della coffa,Palo trinquete - Pata de araña para la cofa,32,,1.5,130,12.13,032-ShipOf74Guns.jpg,Crowfoot for the Top,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2856,74 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle,Albero di trinchetto - Ragnatela della coffa - Paranco,Palo trinquete - Pata de araña para la cofa - Aparejo,32,,2,10,16.17,032-ShipOf74Guns.jpg,Crowfoot for the Top,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2857,74 guns,FORE-MAST,Fore mast - Crowfoot for the Top - Tackle Strapping,Albero di trinchetto - Ragnatela della coffa - Paranco Stroppatura,Palo trinquete - Pata de araña para la cofa - Estrobado de aparejo,32,,2,1.5,16.17,032-ShipOf74Guns.jpg,Crowfoot for the Top,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2858,74 guns,FORE-MAST,Fore mast - Jeers - Tye,Albero di trinchetto - Drizze del pennone - Tira,Palo trinquete - Ostagas - Amante,32,,7.5,130,60.64,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2859,74 guns,FORE-MAST,Fore mast - Jeers - Falls,Albero di trinchetto - Drizze del pennone - Correnti,Palo trinquete - Ostagas - Betas,32,,7.5,130,60.64,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2860,74 guns,FORE-MAST,Fore mast - Jeers - Strapping,Albero di trinchetto - Drizze del pennone - Stroppatura,Palo trinquete - Ostagas - Estrobado,32,,8.5,24,68.72,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2861,74 guns,FORE-MAST,Fore mast - Jeers - Seizing,Albero di trinchetto - Drizze del pennone - Legatura,Palo trinquete - Ostagas - Ligadura,32,,2,32,16.17,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2862,74 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Mast Head,Albero di trinchetto - Drizze del pennone - Legatura alla testa d’albero,Palo trinquete - Ostagas - Trinca en la cabeza del palo,32,,4.5,40,36.38,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2863,74 guns,FORE-MAST,Fore mast - Jeers - Lashing at the Yard,Albero di trinchetto - Drizze del pennone - Legatura al pennone,Palo trinquete - Ostagas - Trinca en la verga,32,,3.5,12,28.3,032-ShipOf74Guns.jpg,Jeers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2864,74 guns,FORE-MAST,Fore mast - Stoppers,Albero di trinchetto - Bozze,Palo trinquete - Bozas,32,2,6,6,48.51,032-ShipOf74Guns.jpg,Stoppers,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2865,74 guns,FORE-MAST,Fore mast - Horses,Albero di trinchetto - Marciapiedi,Palo trinquete - Marchapiés,32,2,5.5,16,44.47,032-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2866,74 guns,FORE-MAST,Fore mast - Horses - Stirrups,Albero di trinchetto - Marciapiedi - Staffe,Palo trinquete - Marchapiés - Estribos,32,6,4,15,32.34,032-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2867,74 guns,FORE-MAST,Fore mast - Horses - Seizings,Albero di trinchetto - Marciapiedi - Legature,Palo trinquete - Marchapiés - Ligaduras,32,,0.5,18,4.04,032-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2868,74 guns,FORE-MAST,Fore mast - Horses - Lanyard,Albero di trinchetto - Marciapiedi - Corridore,Palo trinquete - Marchapiés - Acollador,32,,2,6,16.17,032-ShipOf74Guns.jpg,Horses,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2869,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants,Albero di trinchetto - Pendenti dei paranchi del pennone,Palo trinquete - Pendientes de aparejo de verga,32,2,7,9,56.6,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2870,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Falls,Albero di trinchetto - Pendenti dei paranchi del pennone - Correnti,Palo trinquete - Pendientes de aparejo de verga - Betas,32,2,3.5,100,28.3,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2871,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Strapping,Albero di trinchetto - Pendenti dei paranchi del pennone - Stroppatura,Palo trinquete - Pendientes de aparejo de verga - Estrobado,32,,5.5,9,44.47,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2872,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Seizing,Albero di trinchetto - Pendenti dei paranchi del pennone - Legatura,Palo trinquete - Pendientes de aparejo de verga - Ligadura,32,,1,16,8.09,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2873,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Inner Tricing-Lines,Albero di trinchetto - Pendenti dei paranchi del pennone - interno Tricing-Lines,Palo trinquete - Pendientes de aparejo de verga - Cabos interiores de izado,32,,2.5,40,20.21,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2874,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Outer Tricing-Lines,Albero di trinchetto - Pendenti dei paranchi del pennone - esterno Tricing-Lines,Palo trinquete - Pendientes de aparejo de verga - Cabos exteriores de izado,32,,2,40,16.17,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2875,74 guns,FORE-MAST,Fore mast - Yard Tackle Pendants - Strapping,Albero di trinchetto - Pendenti dei paranchi del pennone - Stroppatura,Palo trinquete - Pendientes de aparejo de verga - Estrobado,32,,2,6,16.17,032-ShipOf74Guns.jpg,Yard Tackle Pendants,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2876,74 guns,FORE-MAST,Fore mast - Braces,Albero di trinchetto - Bracci,Palo trinquete - Brazas,32,2,4.5,108,36.38,032-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2877,74 guns,FORE-MAST,Fore mast - Braces - Pendants,Albero di trinchetto - Bracci - Pendenti,Palo trinquete - Brazas - Pendientes,32,2,5.5,10,44.47,032-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2878,74 guns,FORE-MAST,Fore mast - Braces - Preventer,Albero di trinchetto - Bracci - di rispetto,Palo trinquete - Brazas - Respeto,32,,4.5,11,36.38,032-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
2879,74 guns,FORE-MAST,Fore mast - Braces - Strapping,Albero di trinchetto - Bracci - Stroppatura,Palo trinquete - Brazas - Estrobado,32,,5,5,40.43,032-ShipOf74Guns.jpg,Braces,,Riletto direttamente dalla scansione Steel; nessuna stima.,1799,1799
